"Id","String"
"Lang_Name","한국어"
"Dice_Normal_Name","주사위"
"Hand_Ones_Name","하나"
"Hand_Ones_Desc","1의 합계만큼 점수를 획득합니다."
"Hand_Twos_Name","둘"
"Hand_Twos_Desc","2의 합계만큼 점수를 획득합니다."
"Hand_Threes_Name","셋"
"Hand_Threes_Desc","3의 합계만큼 점수를 획득합니다."
"Hand_Fours_Name","넷"
"Hand_Fours_Desc","4의 합계만큼 점수를 획득합니다."
"Hand_Fives_Name","다섯"
"Hand_Fives_Desc","5의 합계만큼 점수를 획득합니다."
"Hand_Sixs_Name","여섯"
"Hand_Sixs_Desc","6의 합계만큼 점수를 획득합니다."
"Hand_Choice_Name","모두"
"Hand_Choice_Desc","모든 숫자의 합계만큼 점수를 획득합니다."
"Hand_FullHouse_Name","풀하우스"
"Hand_FullHouse_Desc","서로 다른 숫자를 각각 2개,3개 모아야 합니다."
"Hand_SmallStraight_Name","작은 계단"
"Hand_SmallStraight_Desc","1씩 증가하는 주사위를 4개 모아야 합니다."
"Hand_BigStraight_Name","큰 계단"
"Hand_BigStraight_Desc","1씩 증가하는 주사위를 5개 모아야 합니다."
"Hand_SmallAlignment_Name","작은 정렬"
"Hand_SmallAlignment_Desc","같은 숫자의 주사위를 4개 모아야 합니다."
"Hand_BigAlignment_Name","큰 정렬"
"Hand_BigAlignment_Desc","같은 숫자의 주사위를 5개 모아야 합니다."
"Relic_AlchemistsTouchstone_Name","연금술사의 시금석"
"Relic_AlchemistsTouchstone_Desc","매 첫 번째 굴림의 무작위 주사위 하나의 값을 1 올리려고 시도합니다."
"Relic_AlchemistsTouchstone_Flavor","조금이라도 좋은 것을 찾아내려는 노력의 산물."
"Relic_CrackedRune_Name","부서진 룬"
"Relic_CrackedRune_Desc","굴림 직후, 1인 주사위를 6으로 만드려고 시도합니다."
"Relic_CrackedRune_Flavor","부서지기 전에는 어떤 힘을 가졌던 걸까요?"
"Relic_FortuneTellorsFinger_Name","점쟁이의 손가락"
"Relic_FortuneTellorsFinger_Desc","주사위 1개를 골라 원하는 면으로 변경합니다."
"Relic_FortuneTellorsFinger_Flavor","그렇게 될 운명이었어요, 그렇죠?"
"Relic_CrystalOrb_Name","수정구"
"Relic_CrystalOrb_Desc","Choice 슬롯의 점수를 15점 높입니다."
"Relic_CrystalOrb_Flavor","가장 흔한 방법이라고 약한 건 아니에요"
"Relic_ThreadOfFate_Name","운명의 실타래"
"Relic_ThreadOfFate_Desc","{Hand_FullHouse_Name}, {Hand_SmallAlignment_Name}, {Hand_BigAlignment_Name}의 계수를 1배 높입니다."
"Relic_ThreadOfFate_Flavor","운명의 실타래 플레이버"
"Relic_StarChalice_Name","별이 담긴 잔"
"Relic_StarChalice_Desc","슬롯 점수화 시, 그 레벨X5점 추가"
"Relic_StarChalice_Flavor","별이 담긴 잔 플레이버"
"Relic_GoldenMirror_Name","금빛 거울"
"Relic_GoldenMirror_Desc","각 라운드의 첫 점수가 2배가 된다"
"Relic_GoldenMirror_Flavor","금빛 거울 플래이버"
"Relic_WatchGlass_Name","망원경"
"Relic_WatchGlass_Desc","매 라운드 시작 시 리롤 +1"
"Relic_WatchGlass_Flavor","망원경 플레이버"
"Relic_BrokenChain_Name","부숴진 사슬"
"Relic_BrokenChain_Desc","라운드 완료 시, 3코인을 획득한다. 모든 점수를 체웠다면 6코인을 추가로 획득한다."
"Relic_BrokenChain_Flavor","부숴진 사슬 플레이버"
"Relic_ObsidianScales_Name","흑요석 저울"
"Relic_ObsidianScales_Desc","이자 획득량이 2배가 된다. 최대 3코인까지 증가"
"Relic_ObsidianScales_Flavor","흑요석 저울 플레이버"
"Starting_Normal_Name","기본 세트"
"Starting_Normal_Desc","가장 평범하고, 가장 넓은 가능성의 세트"
"Starting_Full_Name","디버그용 풀 세트"
"Starting_Full_Desc","이게 왜 보이세요?"
"RoundStatus","이번 라운드 : {0}/{1}"
"Card_PentacleAce_Name","펜타클 에이스"
"Card_PentacleAce_Desc","적용 주사위의 1면 → 6면 영구 변경	"
"Card_Pentacle6_Name","펜타클 6"
"Card_Pentacle6_Desc","선택 면 굴려지면 +2 코인 (Round당 5회 한정)	"
"Card_Cup7_Name","컵 7"
"Card_Cup7_Desc","선택 면 굴려지면 +1 리롤 (Round당 1회)	"
"Card_WheelOfFortune_Name","운명의 수레바퀴"
"Card_WheelOfFortune_Desc","구매 즉시 선택 면의 숫자 +5"
"Card_World_Name","세계"
"Card_World_Desc","선택 면이 굴려지면 그 굴림의 모든 주사위 +1"
"Card_Fool_Name","광대"
"Card_Fool_Desc","보유 주사위 +1"
"Card_Sword0_Name","소드"
"Card_Sword0_Desc","슬롯 1개의 족보 변경"
"Card_Wand4_Name","완드 4"
"Card_Wand4_Desc","선택한 1레벨 슬롯의 레벨을 +1"
